ilce,il,lat,lon
Gevaş,Van,38.2939,43.1053
Gürpınar,Van,38.32396,43.41036
Muradiye / Berkri,Van,38.97889,43.75374
Saray,Van,38.65513,44.17731
Tuşba,Van,38.52723,43.37418
Çaldıran,Van,39.15053,43.91415
Çatak,Van,38.0078,43.06195
Özalp,Van,38.66283,43.99603
İpekyolu,Van,38.5407,43.56962
Altınova,Yalova,40.70478,29.51606
Armutlu,Yalova,40.52919,28.83871
Termal,Yalova,40.61381,29.18049
Yalova,Yalova,40.60665,29.26346
Çiftlikköy,Yalova,40.65302,29.33946
Çınarcık,Yalova,40.63669,29.13881
Akdağmadeni,Yozgat,39.66404,35.89747
Aydıncık,Yozgat,40.13734,35.29459
Boğazlıyan,Yozgat,39.19627,35.2542
Kadışehri,Yozgat,40.00551,35.798
Saraykent,Yozgat,39.70389,35.51628
Sarıkaya,Yozgat,39.4985,35.39262
Sorgun,Yozgat,39.82022,35.19205
Yenifakılı,Yozgat,39.21073,35.01459
Yerköy,Yozgat,39.64415,34.48386
Yozgat,Yozgat,39.80309,34.80404
Çandır,Yozgat,39.25445,35.52284
Çayıralan,Yozgat,39.31377,35.6516
Çekerek,Yozgat,40.08331,35.49869
Şefaatli,Yozgat,39.5008,34.76388
Alaplı,Zonguldak,41.17793,31.38662
Devrek,Zonguldak,41.22818,31.96519
Ereğli,Zonguldak,41.23807,31.60581
Gökçebey,Zonguldak,41.31339,32.14981
Kilimli,Zonguldak,41.48238,31.83392
Kozlu,Zonguldak,41.43243,31.7492
Zonguldak,Zonguldak,41.3756,31.88623
Çaycuma,Zonguldak,41.43664,32.08457
Atkaracalar,Çankırı,40.8256,33.08202
Bayramören,Çankırı,40.95121,33.20992
Cankiri,Çankırı,40.53247,33.76559
Eldivan,Çankırı,40.53921,33.50574
Ilgaz,Çankırı,40.93351,33.61542
Korgun,Çankırı,40.7456,33.52411
Kurşunlu,Çankırı,40.84739,33.2735
Kızılırmak,Çankırı,40.35504,33.99317
Orta,Çankırı,40.63413,33.11458
Yapraklı,Çankırı,40.76858,33.78379
Çerkeş,Çankırı,40.82165,32.90005
Şabanözü,Çankırı,40.48333,33.28333
Alaca,Çorum,40.17835,34.84968
Bayat,Çorum,40.6559,34.26433
Boğazkale,Çorum,40.03031,34.61745
Corum,Çorum,40.50905,34.85791
Dodurga,Çorum,40.86324,34.81455
Kargı,Çorum,41.14377,34.49342
Laçin,Çorum,40.77792,34.90625
Mecitözü,Çorum,40.52774,35.2877
Ortaköy,Çorum,40.28295,35.25879
Osmancık,Çorum,41.0024,34.78243
Oğuzlar,Çorum,40.76323,34.70813
Sungurlu,Çorum,40.18213,34.28217
Uğurludağ,Çorum,40.45567,34.45627
İskilip,Çorum,40.74363,34.47911
Aliağa,İzmir,38.80078,27.04375
Balçova,İzmir,38.3991,27.04174
Bayraklı,İzmir,38.46222,27.16667
Bayındır,İzmir,38.227,27.65522
Bergama,İzmir,39.17088,27.18918
Beydağ,İzmir,38.08241,28.21609
Bornova,İzmir,38.48492,27.25235
Buca,İzmir,38.34813,27.25053
Dikili,İzmir,39.0784,26.90689
Foça,İzmir,38.67849,26.77214
Gaziemir,İzmir,38.31098,27.15178
Güzelbahçe,İzmir,38.37046,26.8693
Karabağlar,İzmir,38.36912,27.12696
Karaburun,İzmir,38.63546,26.49645
Karşıyaka,İzmir,38.46775,27.11502
Kemalpaşa,İzmir,38.40883,27.491
Kiraz,İzmir,38.24086,28.2138
Konak,İzmir,38.41448,27.14412
Kınık,İzmir,39.09692,27.38829
Menderes,İzmir,38.15525,27.11896
Menemen,İzmir,38.61608,27.06315
Narlıdere,İzmir,38.38957,27.02431
Seferihisar,İzmir,38.18144,26.88877
Selçuk,İzmir,37.95765,27.38072
Tire,İzmir,38.06582,27.7273
Torbalı,İzmir,38.17603,27.37182
Urla,İzmir,38.33256,26.76883
Çeşme,İzmir,38.31658,26.32101
Çiğli,İzmir,38.48802,26.96596
Ödemiş,İzmir,38.23819,27.9801
Akçakale,Şanlıurfa,36.76139,38.96944
Birecik,Şanlıurfa,37.03387,37.99658
Bozova,Şanlıurfa,37.37074,38.53343
Ceylanpınar,Şanlıurfa,36.91944,39.905
Eyyübiye,Şanlıurfa,37.142,38.786
Halfeti,Şanlıurfa,37.25397,37.8794
Haliliye,Şanlıurfa,37.168,38.79599
Harran,Şanlıurfa,36.84306,39.21833
Hilvan,Şanlıurfa,37.59383,38.96
Karaköprü,Şanlıurfa,37.20786,38.71773
Siverek,Şanlıurfa,37.76186,39.32024
Suruç,Şanlıurfa,36.97681,38.4262
Viranşehir,Şanlıurfa,37.23103,39.76247
Beytüşşebap,Şırnak,37.57144,43.16515
Cizre,Şırnak,37.32785,42.18721
Güçlükonak,Şırnak,37.47133,41.91298
Silopi,Şırnak,37.24978,42.47173
Uludere,Şırnak,37.44615,42.85222
İdil,Şırnak,37.34178,41.88824
Şırnak,Şırnak,37.53278,42.38917
